rank,score,carry_distance_m,flight_time_s,max_height_m,avg_cd,avg_cl,avg_l_over_d,depth_ratio_k_over_ball_d,occupancy,volume_ratio,dimple_count,dimple_diameter_mm,estimated_land_width_mm
1,195.5219,190.2056,3.812,12.4473,0.17119,0.06854,0.41808,0.00455,0.666,0.00909,398,3.4904059999999997,0.5833
2,194.926,189.73,3.792,12.3839,0.17063,0.06743,0.4126,0.00455,0.631,0.00859,314,3.8189649999999995,0.7674
3,194.3209,189.244,3.774,12.321,0.1701,0.06635,0.4072,0.00455,0.596,0.008116666666666666,314,3.7094453333333326,0.8769
4,193.7155,188.7578,3.756,12.2585,0.16957,0.06527,0.4018,0.00455,0.561,0.0076433333333333344,314,3.599925666666667,0.9864
5,193.1099,188.2713,3.738,12.1965,0.16904,0.0642,0.3964,0.00455,0.526,0.00717,314,3.4904059999999997,1.0959
6,187.8399,183.6784,3.718,12.0622,0.1823,0.06732,0.38521,0.00568,0.666,0.011384845814977975,398,3.4904059999999997,0.5833
7,187.3352,183.2826,3.698,12.0024,0.18153,0.06612,0.37994,0.00568,0.631,0.010735506607929516,314,3.8189649999999995,0.7674
8,186.8072,182.864,3.68,11.9429,0.18083,0.06497,0.37473,0.00568,0.596,0.010149339207048459,314,3.7094453333333326,0.8769
9,186.2783,182.4445,3.662,11.8839,0.18014,0.06383,0.36952,0.00568,0.561,0.009563171806167402,314,3.599925666666667,0.9864
10,185.7508,182.0242,3.646,11.8253,0.17943,0.0627,0.36439,0.00568,0.526,0.008977004405286345,314,3.4904059999999997,1.0959
11,180.6234,177.5487,3.628,11.698,0.19363,0.06601,0.35535,0.00682,0.666,0.0137,398,3.4904059999999997,0.5833
12,180.2,177.2217,3.61,11.6413,0.19262,0.06474,0.35028,0.00682,0.631,0.0129,314,3.8189649999999995,0.7674
13,179.7392,176.8617,3.592,11.585,0.19177,0.06352,0.34522,0.00682,0.596,0.012199999999999999,314,3.7094453333333326,0.8769
14,179.2794,176.5004,3.576,11.5291,0.19089,0.06232,0.34023,0.00682,0.561,0.011500000000000002,314,3.599925666666667,0.9864
15,178.8155,176.1377,3.558,11.4736,0.19003,0.06112,0.33515,0.00682,0.526,0.0108,314,3.4904059999999997,1.0959
16,173.9405,171.8759,3.544,11.3587,0.20498,0.06466,0.32856,0.00795,0.666,0.015989867841409693,398,3.4904059999999997,0.5833
17,173.5682,171.5933,3.526,11.3048,0.20383,0.06332,0.32359,0.00795,0.631,0.015090308370044053,314,3.8189649999999995,0.7674
18,173.1688,171.2846,3.51,11.2513,0.20278,0.06205,0.3187,0.00795,0.596,0.014274155653450808,314,3.7094453333333326,0.8769
19,172.7651,170.9743,3.492,11.1981,0.20175,0.06078,0.31373,0.00795,0.561,0.013458002936857564,314,3.599925666666667,0.9864
20,172.3618,170.6623,3.476,11.1453,0.20071,0.05952,0.30883,0.00795,0.526,0.012641850220264319,314,3.4904059999999997,1.0959
21,167.6183,166.5154,3.464,11.0362,0.21655,0.06324,0.30398,0.00909,0.666,0.0183,398,3.4904059999999997,0.5833
22,167.2933,166.2715,3.448,10.9848,0.21523,0.06185,0.29915,0.00909,0.631,0.0173,314,3.8189649999999995,0.7674
23,166.9435,166.0078,3.43,10.9338,0.21403,0.06051,0.29426,0.00909,0.596,0.016366666666666665,314,3.7094453333333326,0.8769
24,166.5936,165.7422,3.414,10.8832,0.21281,0.05918,0.28943,0.00909,0.561,0.015433333333333335,314,3.599925666666667,0.9864
25,166.2415,165.4745,3.398,10.8328,0.21159,0.05785,0.28459,0.00909,0.526,0.0145,314,3.4904059999999997,1.0959
