rank,robust_score,mean_score,worst_score,score_std,mean_distance_m,min_distance_m,nominal_carry_distance_m,nominal_avg_cd,nominal_avg_cl,nominal_avg_l_over_d,depth_ratio_k_over_d,occupancy,volume_ratio,dimple_count,dimple_diameter_mm
1,183.6792,207.9769,170.9708,18.9343,200.5065,164.8882,201.1372,0.15602,0.07191,0.48292,0.00455,0.831,0.0113,314,4.35234
2,177.9422,201.2701,165.9558,18.0866,194.8243,160.8293,195.4431,0.16658,0.07248,0.45498,0.00455,0.812,0.0111,476,3.4904059999999997
3,174.1432,196.8488,162.6059,17.5627,191.0954,158.1156,191.7054,0.17287,0.07199,0.43497,0.00455,0.775,0.010590616438356164,456,3.4904059999999997
4,173.6007,196.2314,162.1085,17.5225,190.6021,157.7148,191.2106,0.17232,0.07084,0.42936,0.00455,0.739,0.010095,437,3.4904059999999997
5,173.0582,195.6141,161.6111,17.4823,190.1083,157.3142,190.7152,0.17176,0.06971,0.42383,0.00455,0.703,0.009599383561643835,418,3.4904059999999997
6,172.4994,194.9786,161.0978,17.4412,189.6003,156.9027,190.2056,0.17119,0.06854,0.41808,0.00455,0.666,0.00909,398,3.4904059999999997
7,171.9787,194.3852,160.6221,17.4033,189.1263,156.5182,189.73,0.17063,0.06743,0.4126,0.00455,0.631,0.00859,314,3.8189649999999995
8,171.4475,193.7806,160.1354,17.3641,188.6418,156.1272,189.244,0.1701,0.06635,0.4072,0.00455,0.596,0.008116666666666666,314,3.7094453333333326
9,170.9162,193.1755,159.6489,17.3247,188.1572,155.7365,188.7578,0.16957,0.06527,0.4018,0.00455,0.561,0.0076433333333333344,314,3.599925666666667
10,170.3846,192.57,159.1626,17.2855,187.6723,155.3461,188.2713,0.16904,0.0642,0.3964,0.00455,0.526,0.00717,314,3.4904059999999997
11,168.0854,189.7732,157.2981,16.657,185.0398,153.7706,185.6374,0.18555,0.07286,0.40975,0.00568,0.831,0.014137444933920705,314,4.35234
12,167.8288,189.4828,157.0603,16.6407,184.8099,153.5806,185.4068,0.1852,0.07222,0.40692,0.00568,0.812,0.013837885462555067,476,3.4904059999999997
13,167.3419,188.9315,156.6102,16.6112,184.3751,153.2195,184.9705,0.18447,0.07096,0.40139,0.00568,0.775,0.013216224729949912,456,3.4904059999999997
14,166.8676,188.3947,156.1713,16.5826,183.9508,152.8678,184.5449,0.18375,0.06976,0.39607,0.00568,0.739,0.01261136563876652,437,3.4904059999999997
15,166.3923,187.8564,155.7318,16.5535,183.5255,152.5159,184.1181,0.18304,0.06854,0.39067,0.00568,0.703,0.012006506547583127,418,3.4904059999999997
16,165.9023,187.3022,155.2775,16.5243,183.0873,152.1539,183.6784,0.1823,0.06732,0.38521,0.00568,0.666,0.011384845814977975,398,3.4904059999999997
